uri,type,dc.id,collection,notation,prefLabel,altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf
ct:270,skos:Concept,270,colt:fossieltypes,,Anthracomya williamsoni,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:9,skos:Concept,9,colt:fossieltypes,,Anthraconaia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:623,skos:Concept,623,colt:fossieltypes,,Anthraconauta lenisulcata,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:423,skos:Concept,423,colt:fossieltypes,,Anthraconauta minima,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:289,skos:Concept,289,colt:fossieltypes,,Anthraconauta minima phillipsii,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:424,skos:Concept,424,colt:fossieltypes,,Anthraconauta Phillipsii,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:425,skos:Concept,425,colt:fossieltypes,,Anthraconauta scotica,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:10,skos:Concept,10,colt:fossieltypes,,Anthraconauta sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:426,skos:Concept,426,colt:fossieltypes,,Anthraconauta subovata,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:6,skos:Concept,6,colt:fossieltypes,,Anthracosia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:7,skos:Concept,7,colt:fossieltypes,,Anthracosphaerum sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:84,skos:Concept,84,colt:fossieltypes,,Aphlebia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:127,skos:Concept,127,colt:fossieltypes,,Aporrhais granulosa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:671,skos:Concept,671,colt:fossieltypes,,Aporrhais nilsoni,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:427,skos:Concept,427,colt:fossieltypes,,Aporrhais sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:155,skos:Concept,155,colt:fossieltypes,,Aporrhais speciosa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:351,skos:Concept,351,colt:fossieltypes,,Arca sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:213,skos:Concept,213,colt:fossieltypes,,Arca subglabra,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:59,skos:Concept,59,colt:fossieltypes,,arthropoden,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:123,skos:Concept,123,colt:fossieltypes,,Arthyris lamellosa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:428,skos:Concept,428,colt:fossieltypes,,Arthyris sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:76,skos:Concept,76,colt:fossieltypes,,Artisia sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:393,skos:Concept,393,colt:fossieltypes,,Artisia transversa,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:398,skos:Concept,398,colt:fossieltypes,,Asolanus camptotaenia,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:108,skos:Concept,108,colt:fossieltypes,,Asolanus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:143,skos:Concept,143,colt:fossieltypes,,Astarte sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:344,skos:Concept,344,colt:fossieltypes,,Asterophyllites charaeformis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:262,skos:Concept,262,colt:fossieltypes,,Asterophyllites equisetiformis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:263,skos:Concept,263,colt:fossieltypes,,Asterophyllites grandis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:430,skos:Concept,430,colt:fossieltypes,,Asterophyllites longifolius,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:431,skos:Concept,431,colt:fossieltypes,,Asterophyllites lycopodioides,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:429,skos:Concept,429,colt:fossieltypes,,Asterophyllites myriophyllum,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:432,skos:Concept,432,colt:fossieltypes,,Asterophyllites roehli,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:20,skos:Concept,20,colt:fossieltypes,,Asterophyllites sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:433,skos:Concept,433,colt:fossieltypes,,Asterotheca miltoni,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:434,skos:Concept,434,colt:fossieltypes,,Asterotheca sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:21,skos:Concept,21,colt:fossieltypes,,Aulacopteris sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:435,skos:Concept,435,colt:fossieltypes,,Aulacopteris vulgaris,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:189,skos:Concept,189,colt:fossieltypes,,Avicula sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:92,skos:Concept,92,colt:fossieltypes,,Aviculopecten sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:210,skos:Concept,210,colt:fossieltypes,,Baculites sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:126,skos:Concept,126,colt:fossieltypes,,Baculites vertebralis,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
ct:364,skos:Concept,364,colt:fossieltypes,,Balanocrinus sp.,,,,,,,,,,,,,cs:fossieltype,,,,,,,cs:fossieltype
