uri,dc.identifier,notation,prefLabel,definition,note,inScheme,topConceptOf
concept:32,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.32,32,Lepidophyllum sp.,Lepidophyllum sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:33,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.33,33,Lepidostrobus sp.,Lepidostrobus sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:34,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.34,34,Linopteris sp.,Linopteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:35,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.35,35,Lonchopteris sp.,Lonchopteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:36,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.36,36,Mariopteris sp.,Mariopteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:37,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.37,37,Neuropteris sp.,Neuropteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:38,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.38,38,Pecopteris sp.,Pecopteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:39,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.39,39,Pinnularia sp.,Pinnularia sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:40,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.40,40,Radicites sp.,Radicites sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:41,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.41,41,Samaropsis sp.,Samaropsis sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:42,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.42,42,Sigillaria sp.,Sigillaria sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:43,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.43,43,Sphenophyllum sp.,Sphenophyllum sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:44,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.44,44,Sphenopteris sp.,Sphenopteris sp.,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
