uri,dc.identifier,notation,prefLabel,definition,note,inScheme,topConceptOf
concept:148,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.148,148,Leda sp.,Leda sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:149,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.149,149,Limatula nysti,Limatula nysti,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:150,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.150,150,Dentalium sp.,Dentalium sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:151,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.151,151,Limopsis sp.,Limopsis sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:152,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.152,152,Teredo sp.,Teredo sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:153,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.153,153,Cristellaria sp.,Cristellaria sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:154,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.154,154,Cornuspira involvens,Cornuspira involvens,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:155,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.155,155,Aporrhais speciosa,Aporrhais speciosa,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:156,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.156,156,Nucula sp.,Nucula sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:157,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.157,157,Cancellaria sp.,Cancellaria sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:158,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.158,158,Ditrupa clava,Ditrupa clava,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:159,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.159,159,Bryozoa,Bryozoa (mosdiertjes),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:160,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.160,160,Natica sp.,Natica sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:161,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.161,161,Actaeon sp.,Actaeon sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:162,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.162,162,sponsspicullen,sponsspicullen,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:163,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.163,163,Orbitoliten,Orbitoliten,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:164,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.164,164,Cidaris sp.,Cidaris sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:165,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.165,165,Nummulites wemmelensis,Nummulites wemmelensis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:166,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.166,166,Lucina squamula,Lucina squamula,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:167,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.167,167,Ditrupa sp.,Ditrupa sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:168,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.168,168,Thecidea papillata,Thecidea papillata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:169,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.169,169,Trigonosemus pectiniformis,Trigonosemus pectiniformis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:170,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.170,170,Crania ignabergensis,Crania ignabergensis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:171,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.171,171,Productus cora,Productus cora,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:172,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.172,172,Spirifer glaber,Spirifer glaber,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:173,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.173,173,Streptorhynchus crenistria,Streptorhynchus crenistria,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:174,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.174,174,Chonetes papilionacea,Chonetes papilionacea,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:175,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.175,175,Vola sp.,Vola sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:176,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.176,176,Vola quadricostata,Vola quadricostata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:177,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.177,177,Trigonia limbata,Trigonia limbata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:178,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.178,178,Cyprimeria gelinitzi,Cyprimeria gelinitzi,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:179,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.179,179,Crustaceae,Crustaceae (kreeftachtigen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:180,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.180,180,Ditrupa mosae,Ditrupa mosae,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:181,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.181,181,Turritella nodosa,Turritella nodosa,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:182,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.182,182,Eriphyla lenticularis,Eriphyla lenticularis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:183,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.183,183,Calcarina sp.,Calcarina sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:184,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.184,184,Calcarina calcitrapoides,Calcarina calcitrapoides,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:185,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.185,185,Cyprina nysti,Cyprina nysti,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:186,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.186,186,Pectunculus observatus,Pectunculus observatus,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:187,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.187,187,Actinocamax quadratus,Actinocamax quadratus,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:188,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.188,188,Actinocamax sp.,Actinocamax sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:189,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.189,189,Avicula sp.,Avicula sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:190,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.190,190,Rhynchonella plicatilis,Rhynchonella plicatilis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:191,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.191,191,Rhynchonella sp.,Rhynchonella sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:192,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.192,192,Bourgueticrinus ellipticus,Bourgueticrinus ellipticus,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:193,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.193,193,Echinocorys sp.,Echinocorys sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:194,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.194,194,Echinocorys vulgaris,Echinocorys vulgaris,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:195,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.195,195,Ostrea semiplana,Ostrea semiplana,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:196,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.196,196,algen,algen,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:197,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.197,197,foraminiferen,foraminiferen,fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:198,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.198,198,Ostrea vesicularis,Ostrea vesicularis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:199,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.199,199,Janira quadricostata,Janira quadricostata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:200,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.200,200,Rhynchonella  limbata,Rhynchonella  limbata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:201,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.201,201,Belemnitella sp.,Belemnitella sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:202,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.202,202,Rhynchonella dutempleana,Rhynchonella dutempleana,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:203,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.203,203,belemnieten,belemnieten (groep van tienarmige inktvissen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:204,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.204,204,Gyrolites davreuxi,Gyrolites davreuxi,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:205,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.205,205,Bivalven,Bivalven (tweekleppigen),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:206,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.206,206,Pecten spatulus,Pecten spatulus,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:207,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.207,207,Terebratula sp.,Terebratula sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:208,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.208,208,Ostrea laciniata,Ostrea laciniata,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:209,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.209,209,Lima sp.,Lima sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:210,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.210,210,Baculites sp.,Baculites sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:211,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.211,211,Lima soverbyi,Lima soverbyi,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:212,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.212,212,Pecten loevis,Pecten loevis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:213,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.213,213,Arca subglabra,Arca subglabra,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:214,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.214,214,Turritella alternans,Turritella alternans,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:215,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.215,215,Turritella sp.,Turritella sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:216,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.216,216,Cerithium sp.,Cerithium sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:217,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.217,217,Cerithium decheni,Cerithium decheni,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:218,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.218,218,Meretrix ovalis,Meretrix ovalis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:219,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.219,219,Gyrolites sp.,Gyrolites sp.,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:220,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.220,220,Leda deshayesiana,Leda deshayesiana,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:221,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.221,221,Gyrolites dewalquei,Gyrolites dewalquei,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:222,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.222,222,Inoceramus sp.,Inoceramus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:223,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.223,223,Nodosaria sp.,Nodosaria sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:224,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.224,224,Cyprina morrisi,Cyprina morrisi,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:225,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.225,225,Osmeroides sp.,Osmeroides sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:226,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.226,226,Tellina sp.,Tellina sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:227,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.227,227,Spondyles sp.,Spondyles sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:228,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.228,228,Pecten pulchellus,Pecten pulchellus,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:230,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.230,230,oesters,oesters,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:231,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.231,231,Calianassa sp.,Calianassa sp.,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:232,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.232,232,Janira sp.,Janira sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:233,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.233,233,sponzen,sponzen,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:234,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.234,234,coprolieten,coprolieten (gefossiliseerde uitwerpselen),ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:235,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.235,235,Rotalina sp.,Rotalina sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:236,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.236,236,Neuropteris gigantea,Neuropteris gigantea,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:237,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.237,237,Mariopteris sauveuri latifolia,Mariopteris sauveuri latifolia,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:238,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.238,238,zeeëgel,zeeëgel,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:239,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.239,239,Chenopus sp.,Chenopus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:240,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.240,240,Calianassa fayiasi,Calianassa fayiasi,marien ichnofossiel,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:241,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.241,241,Nucula chastelli,Nucula chastelli,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:242,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.242,242,Trigonia sp.,Trigonia sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:243,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.243,243,Notidamus sp.,Notidamus sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:244,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.244,244,Pholadomya sp.,Pholadomya sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:245,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.245,245,Dosinia lenticularis,Dosinia lenticularis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:246,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.246,246,Cypris sp.,Cypris sp.,zoetwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:247,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.247,247,Ostrea ventilabrum,Ostrea ventilabrum,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:248,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.248,248,Panopoea sp.,Panopoea sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:249,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.249,249,Lepidodendron triangulaire,Lepidodendron triangulaire,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:250,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.250,250,Ostrea lateralis,Ostrea lateralis,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:251,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.251,251,Alethopteris lonchitifolia davreuxi,Alethopteris lonchitifolia davreuxi,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:252,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.252,252,Enchodus (Faujasi) sp.,Enchodus (Faujasi) sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:253,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.253,253,Lamna sp.,Lamna sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:254,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.254,254,Mactra sp.,Mactra sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:255,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.255,255,Anomya (Terebratula),Anomya (Terebratula),mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:256,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.256,256,Buccinum sp.,Buccinum sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:257,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.257,257,Rostellaria sp.,Rostellaria sp.,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:258,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.258,258,Mammalia,Mammalia,onbepaald,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:259,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.259,259,Ostrea callifera,Ostrea callifera,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:260,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.260,260,Cardium cingulatum,Cardium cingulatum,mariene fauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:261,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.261,261,Annularia radiata,Annularia radiata,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:262,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.262,262,Asterophyllites equisetiformis,Asterophyllites equisetiformis,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:263,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.263,263,Asterophyllites grandis,Asterophyllites grandis,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:264,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.264,264,Alethopteris decurrens,Alethopteris decurrens,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:265,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.265,265,Alethopteris lonchitica,Alethopteris lonchitica,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:266,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.266,266,Alethopteris serli,Alethopteris serli,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:267,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.267,267,Anthracomya minima,Anthracomya minima,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:268,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.268,268,Anthracomya modiolaris,Anthracomya modiolaris,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:269,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.269,269,Anthracomya philippsi,Anthracomya philippsi,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:270,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.270,270,Anthracomya williamsoni,Anthracomya williamsoni,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:271,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.271,271,Bothrodendron minutifolium,Bothrodendron minutifolium,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:272,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.272,272,Calamites cisti,Calamites cisti,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:273,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.273,273,Calamites indulatus,Calamites indulatus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:274,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.274,274,Calamites ramosus,Calamites ramosus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:275,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.275,275,Calamites suckowi,Calamites suckowi,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:276,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.276,276,Anthracomya wardi williamsoni,Anthracomya wardi williamsoni,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:277,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.277,277,Calamostachys germanica,Calamostachys germanica,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:278,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.278,278,Calamophyllites goepperti,Calamophyllites goepperti,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:279,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.279,279,Calamophyllites verticillatus,Calamophyllites verticillatus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:280,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.280,280,Carbonicola acuta,Carbonicola acuta,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:281,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.281,281,Carbonicola aquilina,Carbonicola aquilina,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:282,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.282,282,Carbonicola nucularis,Carbonicola nucularis,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:283,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.283,283,Carbonicola ovalis,Carbonicola ovalis,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:284,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.284,284,Carbonicola similis,Carbonicola similis,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:285,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.285,285,Cordaites borassifolius,Cordaites borassifolius,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:286,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.286,286,Cyclopteris orbicularis,Cyclopteris orbicularis,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:287,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.287,287,Lepidostrobus squarrosus,Lepidostrobus squarrosus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:288,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.288,288,Lepidostrobus variabilis,Lepidostrobus variabilis,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:289,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.289,289,Anthraconauta minima phillipsii,Anthraconauta minima phillipsii,brakwaterfauna,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:290,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.290,290,Lepidodendron lycopodioïdes,Lepidodendron lycopodioïdes,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:291,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.291,291,Lepidodendron obovatum,Lepidodendron obovatum,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:292,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.292,292,Lepidodendron ophiurus,Lepidodendron ophiurus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:293,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.293,293,Lepidodendron sternbergi,Lepidodendron sternbergi,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:294,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.294,294,Lepidodendron wortheni,Lepidodendron wortheni,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:295,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.295,295,Lepidophloios caricinus,Lepidophloios caricinus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:296,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.296,296,Lepidophloios laricinus,Lepidophloios laricinus,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:297,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.297,297,Lepidophyllum lanceolatum,Lepidophyllum lanceolatum,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
concept:298,be.vlaanderen.bodemenondergrond.data.id.concept.fossieltype.298,298,Lepidophyllum obovatum,Lepidophyllum obovatum,flora,conceptscheme:fossieltype,conceptscheme:fossieltype
